"0","AOL Privacy Policy Last updated: June 23, 2015 ","Introductory/Generic"
"1","AOL is now part of the Verizon family of companies. Additional privacy practices are described in the Verizon Privacy Policy. In the event of a conflict between this Privacy Policy and the Verizon Privacy Policy, the AOL Privacy Policy will control when you are on an AOL site or using and AOL product or service. ","Practice not covered"
"2","At AOL, it's our mission to provide users with rich, interactive online experiences. From Pulitzer-Prize winning journalism on the Huffington Post, to the latest technology news on TechCrunch, to up-to-the-minute traffic information on MapQuest, our websites, apps, and other services and software are designed to keep you informed, entertained and delighted. We also operate some of the industry's best-known advertising services, including Adap.tv and Advertising.com. ","Introductory/Generic"
"3","We're always working to make our services even better. One of the ways we do that is by analyzing information we collect and receive about users in order to figure out what they might be interested in. This helps us develop more engaging content and provide more effective advertising, which enables us to keep most of our services free. ","First Party Collection/Use"
"4","This Privacy Policy describes how we handle the information we collect and receive about users. There are three things you should keep in mind as you read it: First, the Privacy Policy applies to AOL services that link to or refer to this Privacy Policy. These services include websites, mobile apps, other online services and anything else that links to or refers to this policy. To keep things simple, we refer to all these services as our ""Services."" Second, the Privacy Policy applies no matter what computer or device you use to access our Services. Third, we may provide additional information about the privacy practices of some of our Services. Although this Privacy Policy applies to all AOL services that refer or link to it, you should read the additional information, too. Some of this information is linked from various places in the Privacy Policy, and some is available through the individual Services that you use. We've done our best to keep this Privacy Policy short and simple, but if you have any questions about it, we hope you'll let us know. ","Introductory/Generic"
"5","Information We Collect and Receive We collect and receive information about users in a few different ways: ","Introductory/Generic"
"6","Information you give us . You can give us information directly. For example: When you sign up for an AOL account you may give us information such as your name, zip code, and date of birth; When you purchase one of our paid services, you give us your billing information, which may include your credit card data; When you use Moviefone, you can give us your zip code so that we can tell you where and when movies are playing; When you post comments in response to a story or video on any of our Services, we-and other users-receive that information; and When you use the "" My Portfolios"" feature on DailyFinance, you can give us information about your investments so that we can provide you with up-to-the-second market news and commentary relevant to your holdings. (Your use of AOL financial features is subject to additional privacy terms.) When you otherwise contact us or provide us information directly. ","First Party Collection/Use"
"6","Information you give us . You can give us information directly. For example: When you sign up for an AOL account you may give us information such as your name, zip code, and date of birth; When you purchase one of our paid services, you give us your billing information, which may include your credit card data; When you use Moviefone, you can give us your zip code so that we can tell you where and when movies are playing; When you post comments in response to a story or video on any of our Services, we-and other users-receive that information; and When you use the "" My Portfolios"" feature on DailyFinance, you can give us information about your investments so that we can provide you with up-to-the-second market news and commentary relevant to your holdings. (Your use of AOL financial features is subject to additional privacy terms.) When you otherwise contact us or provide us information directly. ","Introductory/Generic"
"7","Information we collect or receive when you use our Services . We also collect or receive information when you use our Services. We collect some of this information using cookies, web beacons, and other technologies. Depending on how you access and use our Services, we may receive: ","First Party Collection/Use"
"8","Log information . This is information we automatically collect and store when you use our Services or other companies' websites and apps in the AOL Advertising Network. It may include, for example: Information about your interactions with the websites, apps, and other services you use, the content you view, the search queries you submit, and information in cookies and similar technologies; Information about how you access those websites, apps, and other services, your browser or operating system, your Internet Protocol (""IP"") address, and the website you visited before visiting our Services. ","First Party Collection/Use"
"8","Log information . This is information we automatically collect and store when you use our Services or other companies' websites and apps in the AOL Advertising Network. It may include, for example: Information about your interactions with the websites, apps, and other services you use, the content you view, the search queries you submit, and information in cookies and similar technologies; Information about how you access those websites, apps, and other services, your browser or operating system, your Internet Protocol (""IP"") address, and the website you visited before visiting our Services. ","Data Retention"
