"0","OpenSecrets.org Privacy Policy ","Introductory/Generic"
"1","The Center for Responsive Politics (CRP) takes your privacy very seriously. CRP is the sole owner of the information collected from users on OpenSecrets.org. ","Introductory/Generic"
"2","CRP will not share, rent or sell personally identifiable information to any third parties . You will never be sent marketing materials by CRP unless you explicitly opt-in. ","Third Party Sharing/Collection"
"2","CRP will not share, rent or sell personally identifiable information to any third parties . You will never be sent marketing materials by CRP unless you explicitly opt-in. ","User Choice/Control"
"3","Information you submit to our web site will be used to contact you if you have subscribed to our newsletter, if you have made a donation or if you respond to an action request made by the Center. Should you ""unsubscribe"" from a newsletter you will be permanently removed from our contact list. ","First Party Collection/Use"
"4","OpenSecrets.org uses temporary session ""cookies"" (data that is generated on our web server and stored on your computer) for authentication and other purposes. These cookies contain no personally identifiable information and are deleted when the browser window is closed. A user may set his or her browser to disallow cookies. In such a case, some features of the website may not work as intended. In addition, third party social networking services and advertisements are displayed on OpenSecrets.org which may use cookies as well. ","First Party Collection/Use"
"4","OpenSecrets.org uses temporary session ""cookies"" (data that is generated on our web server and stored on your computer) for authentication and other purposes. These cookies contain no personally identifiable information and are deleted when the browser window is closed. A user may set his or her browser to disallow cookies. In such a case, some features of the website may not work as intended. In addition, third party social networking services and advertisements are displayed on OpenSecrets.org which may use cookies as well. ","Third Party Sharing/Collection"
"5","OpenSecrets.org uses Google Analytics to learn how people use the site and to improve our services. We also collect standard log files from our systems to ensure the integrity of our services and for troubleshooting purposes. Included in these log files are the date, the IP address and the URL of the request. Log files are typically deleted from our servers after 90 days. Aggregate information that does not personally identify you may be shared with funders or potential future advertisers. ","First Party Collection/Use"
"5","OpenSecrets.org uses Google Analytics to learn how people use the site and to improve our services. We also collect standard log files from our systems to ensure the integrity of our services and for troubleshooting purposes. Included in these log files are the date, the IP address and the URL of the request. Log files are typically deleted from our servers after 90 days. Aggregate information that does not personally identify you may be shared with funders or potential future advertisers. ","Data Retention"
"5","OpenSecrets.org uses Google Analytics to learn how people use the site and to improve our services. We also collect standard log files from our systems to ensure the integrity of our services and for troubleshooting purposes. Included in these log files are the date, the IP address and the URL of the request. Log files are typically deleted from our servers after 90 days. Aggregate information that does not personally identify you may be shared with funders or potential future advertisers. ","Third Party Sharing/Collection"
"6","When this privacy policy is revised or updated, CRP will post the updated version, including the effective date of the revision or update, on OpenSecrets.org. It shall be construed that you accept and agree with the revised or updated privacy policy when you access and use the website for the first time after the publication of such changes. If you have questions about this policy, please email us at feedback@crp.org. ","Policy Change"
"6","When this privacy policy is revised or updated, CRP will post the updated version, including the effective date of the revision or update, on OpenSecrets.org. It shall be construed that you accept and agree with the revised or updated privacy policy when you access and use the website for the first time after the publication of such changes. If you have questions about this policy, please email us at feedback@crp.org. ","Privacy contact information"
"7","This privacy policy was last updated on July 10, 2014.","Introductory/Generic"
"7","This privacy policy was last updated on July 10, 2014.","Other"
"2","CRP will not share, rent or sell personally identifiable information to any third parties . You will never be sent marketing materials by CRP unless you explicitly opt-in. ","First Party Collection/Use"
"4","OpenSecrets.org uses temporary session ""cookies"" (data that is generated on our web server and stored on your computer) for authentication and other purposes. These cookies contain no personally identifiable information and are deleted when the browser window is closed. A user may set his or her browser to disallow cookies. In such a case, some features of the website may not work as intended. In addition, third party social networking services and advertisements are displayed on OpenSecrets.org which may use cookies as well. ","Data Retention"
