"0","Privacy Policy ","Introductory/Generic"
"1","Cincymuseum.org and all other websites and/or domains hosted in conjunction with this domain (the ""Site"") are services of Cincinnati Museum Center (CMC), a non-profit organization based in Cincinnati, OH. ","Introductory/Generic"
"2","Cincinnati Museum Center has created this privacy policy to demonstrate our firm commitment to protecting your information and informing you about how we handle your information. This privacy policy applies to all interactions with, transactions made, and data gathered on the Site. Please review this privacy policy periodically as we may update it from time to time. This privacy policy was last revised per the date listed below. Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time. ","Introductory/Generic"
"3"," Your IP Address Like most websites, each time you visit the Site, we automatically collect your IP address and the web page from which you came. We use your IP address in order to administer and optimize the Site for you and to diagnose problems with our Site, and, in certain cases, to help identify you. ","First Party Collection/Use"
"4"," Cookies Like most websites, the Site uses cookies to keep track of your purchases and other activity on the Site and enhance your experience on the Site. We also use cookies to deliver content specific to your interests, to save your password, and if you choose, to save other information so you do not have to re-enter it each time you visit the Site. If you wish to disable these cookies, the ""help"" portion of the toolbar on most browsers will tell you how. However, if you set your browser to disable cookies, you may not be able to access certain areas on the Site. ","First Party Collection/Use"
"5"," Information We Collect From You In order to operate the Site and provide you with information on products and services that may be of interest to you, we may collect personal information (i.e. information that could be used to contact you, such as full name, postal address, phone number and email address), financial information (e.g. passwords and credit card numbers) and demographic information (e.g. zip code, hometown, gender, purchase history information and age) from you. Please note that nowhere on the Site do we knowingly collect personal information from directly children under the age of 13. ","International and Specific Audiences"
"5"," Information We Collect From You In order to operate the Site and provide you with information on products and services that may be of interest to you, we may collect personal information (i.e. information that could be used to contact you, such as full name, postal address, phone number and email address), financial information (e.g. passwords and credit card numbers) and demographic information (e.g. zip code, hometown, gender, purchase history information and age) from you. Please note that nowhere on the Site do we knowingly collect personal information from directly children under the age of 13. ","First Party Collection/Use"
"6"," Information Other Web Sites Collect From You On the Site, we place links to other web sites operated by other parties. Some of these other web sites contain our brand names and trademarks and other intellectual property that we own; others do not. When you click on these links and visit these other web sites, regardless of whether or not they contain our brand names, trademarks and other intellectual property, you need to be aware that we do not control these other web sites or these other web sites' business practices, and that this privacy policy does not apply to these other web sites. Consequently, the operators of these other web sites may collect different kinds of information about you, and may use and disclose that information in different ways than we would if it were collected on the Site. We encourage you to review their privacy policies and remind you that we will not be responsible for their actions. ","Practice not covered"
"7"," How We Use Personal Information We use your personal information to help us efficiently perform transactions on the Site, to deliver the services you have requested, to contact you when necessary in connection with events for which you purchased items and services on the Site (including event confirmations, changes and cancellations), and to send you information, offers and other promotional materials. We carefully select the information we send to you and attempt to send you offers that are of value to you, such as discounts, exclusive offers or special event information. ","First Party Collection/Use"
"7"," How We Use Personal Information We use your personal information to help us efficiently perform transactions on the Site, to deliver the services you have requested, to contact you when necessary in connection with events for which you purchased items and services on the Site (including event confirmations, changes and cancellations), and to send you information, offers and other promotional materials. We carefully select the information we send to you and attempt to send you offers that are of value to you, such as discounts, exclusive offers or special event information. ","Other"
"8","We do not share or sell email addresses gathered on the Site. ","Third Party Sharing/Collection"
"9","Transactions. To process transactions on the Site, we may share your personal information with our agents, representatives, contractors and service providers so they can provide us with support services such as authorization of credit card transactions, order fulfillment and sweepstakes and promotional fulfillment. We require these entities not to use your information for any other purpose. ","Third Party Sharing/Collection"
"10","Tickets. We use a third party ticketing agent for ticketing processing. If you purchase a ticket or perform any other transaction through our ticketing partner, their Privacy Policy is in effect for that transaction. ","Third Party Sharing/Collection"
"10","Tickets. We use a third party ticketing agent for ticketing processing. If you purchase a ticket or perform any other transaction through our ticketing partner, their Privacy Policy is in effect for that transaction. ","Practice not covered"
"11","Newsletter. By subscribing to our email newsletter (or electing to receive communications of any kind through the Site), you consent to us providing your email to our third-party email provider to facilitate the delivery of email. However, your email address will not be otherwise shared or sold. ","Third Party Sharing/Collection"
"12","Exceptions. Your personal information may be passed on to a third party in the unlikely event of a transfer of ownership or assets, or a bankruptcy, of CMC. We may also disclose specific information when we determine that such disclosure is necessary to comply with law, to cooperate with law enforcement or to protect the interests or safety of Cincinnati Museum Center or other visitors to the Site. ","Third Party Sharing/Collection"
"13"," How We Use Financial Information We use your financial information to check your qualifications, to bill you for products and services and to enable you to participate in discount, rebate, and similar programs in which you may elect to participate. By making a purchase, or engaging in any other kind of activity that uses financial information, on the Site, you consent to our providing your financial information to our service providers and to such third parties as we determine is necessary to process your transactions, as well as to your credit card issuer for their purposes. These third parties include the credit card companies and banking institutions used to process the transaction. ","First Party Collection/Use"
"13"," How We Use Financial Information We use your financial information to check your qualifications, to bill you for products and services and to enable you to participate in discount, rebate, and similar programs in which you may elect to participate. By making a purchase, or engaging in any other kind of activity that uses financial information, on the Site, you consent to our providing your financial information to our service providers and to such third parties as we determine is necessary to process your transactions, as well as to your credit card issuer for their purposes. These third parties include the credit card companies and banking institutions used to process the transaction. ","Third Party Sharing/Collection"
"14"," How We Use Demographic Information We use demographic information to tailor the Site and communications to the interests of our users. We may share anonymous, aggregated (i.e. grouped) demographic information third parties (such as grant making organizations and foundations), so that they can tailor their advertisements and communications to the appropriate audience. ","First Party Collection/Use"
