"0","Privacy Policy Your privacy is important to us. Public Citizen does not automatically collect personal information from people who visit or interact with our website. This privacy policy applies to the www.citizen.org website. ","Data Security"
"0","Privacy Policy Your privacy is important to us. Public Citizen does not automatically collect personal information from people who visit or interact with our website. This privacy policy applies to the www.citizen.org website. ","First Party Collection/Use"
"0","Privacy Policy Your privacy is important to us. Public Citizen does not automatically collect personal information from people who visit or interact with our website. This privacy policy applies to the www.citizen.org website. ","Introductory/Generic"
"1","If you provide your name, postal address, email address, phone number, or other information via a form on the website, we may store that information and contact you about our work. Except as outlined below, we do not sell, rent, trade, or otherwise disclose to any business, organization, individual, or other outside entity information provided by people who visit or interact with the website. ","First Party Collection/Use"
"1","If you provide your name, postal address, email address, phone number, or other information via a form on the website, we may store that information and contact you about our work. Except as outlined below, we do not sell, rent, trade, or otherwise disclose to any business, organization, individual, or other outside entity information provided by people who visit or interact with the website. ","Third Party Sharing/Collection"
"2"," Taking Action We do not disclose the information you enter on an action page to any outside entity - except as follows: If you sign a petition, your name and state may be included in an electronic file or hard-copy printout delivered to legislators or other policymakers. If you email a member of Congress or other policymaker, submit a comment to a government agency, send a letter-to-the-editor, or take any other action that generates a communication to an outside entity, the information you enter on the action page may be passed along to that outside entity. We may give consultants and organizations working with us on specific projects temporary access to information about our online action-takers. They will not retain the information or contact the people whose information they have access to. We may offer to connect you to other activists or volunteer organizers. Before doing so, we will notify you by email with an option to decline. ","Third Party Sharing/Collection"
"2"," Taking Action We do not disclose the information you enter on an action page to any outside entity - except as follows: If you sign a petition, your name and state may be included in an electronic file or hard-copy printout delivered to legislators or other policymakers. If you email a member of Congress or other policymaker, submit a comment to a government agency, send a letter-to-the-editor, or take any other action that generates a communication to an outside entity, the information you enter on the action page may be passed along to that outside entity. We may give consultants and organizations working with us on specific projects temporary access to information about our online action-takers. They will not retain the information or contact the people whose information they have access to. We may offer to connect you to other activists or volunteer organizers. Before doing so, we will notify you by email with an option to decline. ","Practice not covered"
"2"," Taking Action We do not disclose the information you enter on an action page to any outside entity - except as follows: If you sign a petition, your name and state may be included in an electronic file or hard-copy printout delivered to legislators or other policymakers. If you email a member of Congress or other policymaker, submit a comment to a government agency, send a letter-to-the-editor, or take any other action that generates a communication to an outside entity, the information you enter on the action page may be passed along to that outside entity. We may give consultants and organizations working with us on specific projects temporary access to information about our online action-takers. They will not retain the information or contact the people whose information they have access to. We may offer to connect you to other activists or volunteer organizers. Before doing so, we will notify you by email with an option to decline. ","User Choice/Control"
"3","Once you take action, we will send you emails about our work. To stop receiving emails, complete the form at http://action.citizen.org/unsubscribe.jsp. ","User Choice/Control"
"4"," Signing Up for Email Lists or E-Newsletters We do not disclose the information you enter on a sign-up page to any outside entity - except as follows: We may give consultants and organizations working with us on specific projects temporary access to such information; they will not retain the information or contact the people whose information they have access to. To stop receiving emails, complete the form at http://action.citizen.org/unsubscribe.jsp. ","Third Party Sharing/Collection"
