"0","Privacy Policy Our commitment to privacy Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. ","Introductory/Generic"
"1"," The information we collect This notice applies to all information collected or submitted on any of Illini Media's websites including dailyillini.com. On some of our pages, you may have the option to create an account, make requests, register for contests, and/or submit content to our websites. ","Introductory/Generic"
"2","The personal information collected at these pages are used to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates. You can opt out of all newsletters, but you may still receive occasional notices regarding your specific usage of the site. We do not share this information with outside parties unless otherwise noted at the time of data entry. ","First Party Collection/Use"
"2","The personal information collected at these pages are used to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates. You can opt out of all newsletters, but you may still receive occasional notices regarding your specific usage of the site. We do not share this information with outside parties unless otherwise noted at the time of data entry. ","Third Party Sharing/Collection"
"3","Illini Media uses non-identifying and aggregate information to better customize our websites for your use and to share general data about those who view our websites with our advertisers. We do not disclose anything that could be used to identify individuals. ","First Party Collection/Use"
"3","Illini Media uses non-identifying and aggregate information to better customize our websites for your use and to share general data about those who view our websites with our advertisers. We do not disclose anything that could be used to identify individuals. ","Third Party Sharing/Collection"
"4","Illini Media partners with Google and OnCampus Advertising to serve some of the ads you see when you visit our websites. ","Introductory/Generic"
"4","Illini Media partners with Google and OnCampus Advertising to serve some of the ads you see when you visit our websites. ","Third Party Sharing/Collection"
"5","Illini Media also uses Google Analytics that allows us to analyze data on our users' demographics (age, gender) and interests (affinity categories, other categories). Specifically, we are able analyze the this type of data: ","First Party Collection/Use"
"5","Illini Media also uses Google Analytics that allows us to analyze data on our users' demographics (age, gender) and interests (affinity categories, other categories). Specifically, we are able analyze the this type of data: ","Third Party Sharing/Collection"
"6","Demographics Overview (overview of traffic by age and gender) Age (traffic by age ranges) Gender (traffic by gender) ","First Party Collection/Use"
"6","Demographics Overview (overview of traffic by age and gender) Age (traffic by age ranges) Gender (traffic by gender) ","Introductory/Generic"
"7","Interests Overview (overview of traffic by affinity and other categories) Affinity Categories (behavior by affinity categories) In-Market Categories (behavior by in-market categories) Other Categories (behavior by other interest categories) ","First Party Collection/Use"
"7","Interests Overview (overview of traffic by affinity and other categories) Affinity Categories (behavior by affinity categories) In-Market Categories (behavior by in-market categories) Other Categories (behavior by other interest categories) ","Introductory/Generic"
"8","This analysis enables us to track how our users engage over a date range, who our users are generally, and how their behavior varies by attribute (e.g., male vs. female). Illini Media may use this type of analysis to refine our advertising and content strategies. ","First Party Collection/Use"
"8","This analysis enables us to track how our users engage over a date range, who our users are generally, and how their behavior varies by attribute (e.g., male vs. female). Illini Media may use this type of analysis to refine our advertising and content strategies. ","Introductory/Generic"
"9","Please note: Illini Media uses Google Analytics. Third-party vendors ads (including those served by Google) that appear on Illini Media's websites may appear across the Internet. Illini Media and third-party vendors, including Google, use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick cookie) together to inform, optimize, and serve ads based on someone's past visits to your website. Illini Media and third-party vendors, including Google, use first-party cookies (such as the Google Analytics cookies) and third-party cookies (such as the DoubleClick cookie) together to report how our ad impressions, other uses of ad services, and interactions with these ad impressions and ad services are related to visits to your site. ","First Party Collection/Use"
"9","Please note: Illini Media uses Google Analytics. Third-party vendors ads (including those served by Google) that appear on Illini Media's websites may appear across the Internet. Illini Media and third-party vendors, including Google, use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick cookie) together to inform, optimize, and serve ads based on someone's past visits to your website. Illini Media and third-party vendors, including Google, use first-party cookies (such as the Google Analytics cookies) and third-party cookies (such as the DoubleClick cookie) together to report how our ad impressions, other uses of ad services, and interactions with these ad impressions and ad services are related to visits to your site. ","Third Party Sharing/Collection"
"10","Illini Media never shares personally identifiable information provided to us online in ways unrelated to the ones described above without also providing you an opportunity to opt-out or otherwise prohibit such unrelated uses. Google or any ad server may use information (not including your name, address, email address or telephone number) about your visits to this and other websites in order to provide advertisements about goods and services of interest to you. ","Third Party Sharing/Collection"
"10","Illini Media never shares personally identifiable information provided to us online in ways unrelated to the ones described above without also providing you an opportunity to opt-out or otherwise prohibit such unrelated uses. Google or any ad server may use information (not including your name, address, email address or telephone number) about your visits to this and other websites in order to provide advertisements about goods and services of interest to you. ","User Choice/Control"
"11"," To opt-out You may use Google Analytics' currently available opt-outs at any time. ","User Choice/Control"
"12"," To access or correct your information You can access all your personally identifiable information that we collect online and maintain by logging into your account and adjusting your account settings and profile information. You can correct factual errors in your personally identifiable information by sending us a request that credibly shows error. To protect your privacy and security, we will also take reasonable steps to verify your identity before granting access or making corrections. ","User Access, Edit and Deletion"
"13"," Our commitment to data security To prevent unauthorized access, maintain data accuracy, and ensure the correct use of information, we have put in place appropriate physical, electronic, and managerial procedures to safeguard and secure the information we collect online. ","Data Security"
"14","May 12, 2014","Introductory/Generic"
"14","May 12, 2014","Other"
