"0","Privacy Policy ","Introductory/Generic"
"1","Last updated: August 26, 2014 ","Introductory/Generic"
"1","Last updated: August 26, 2014 ","Policy Change"
"2","Our Commitment to Privacy Hat World values your time, respects your privacy, and seeks to earn your trust. ","Introductory/Generic"
"3","We collect information about you in our stores and through the Sites ( lids.com, lids.ca and hatworld.com) in an effort to improve your shopping experience and to tell you about our products, services, contests and promotions. Your trust is essential to us, and we are not in the business of selling or renting information about our customers to others. As described in this policy, we may share your information among our brands and, under certain circumstances, with third parties that provide services on our behalf or with whom we have partnered to offer a particular product or service. ","First Party Collection/Use"
"3","We collect information about you in our stores and through the Sites ( lids.com, lids.ca and hatworld.com) in an effort to improve your shopping experience and to tell you about our products, services, contests and promotions. Your trust is essential to us, and we are not in the business of selling or renting information about our customers to others. As described in this policy, we may share your information among our brands and, under certain circumstances, with third parties that provide services on our behalf or with whom we have partnered to offer a particular product or service. ","Third Party Sharing/Collection"
"4","In line with these values, our privacy policy may change from time to time. If it does, we will post an updated policy on the Sites and change the ""last updated"" line above. If we make significant changes to the policy, we will provide appropriate notice to you. ","Policy Change"
"5","If you have any unanswered questions about our privacy policy, click here to reach our Privacy Officer. ","Privacy contact information"
"5","If you have any unanswered questions about our privacy policy, click here to reach our Privacy Officer. ","Introductory/Generic"
"6","What kind of personal information does Hat World collect- We may collect personal information from you, such as your name, email address, postal address, phone number, purchase history, credit card number, gender, birthday, and personal interests, when you visit one of the Sites or stores, place an order online or by phone, make an in-store purchase, save your information with us online, return an item to a store, contact us with a question or concern, participate in a contest, promotion, or survey, or communicate with us in any other way. ","First Party Collection/Use"
"7","We may occasionally collect an individual's IP address to help identify an individual, gather broad demographic information about users of the Sites, diagnose problems with our systems, and administer the Sites. ","First Party Collection/Use"
"8","How does Hat World collect this information- We receive and store any information from your visits to our Sites or that you give us in any other way. ","First Party Collection/Use"
"9","As is true of most web sites, we gather and store certain information automatically, including Internet Protocol (IP) addresses, browser types, Internet Service Provider (ISP), referring/exit pages, operating system, date/time stamp, and click stream data. This information does not identify individual users, and is used to analyze trends, to administer the site, to track users' movements around the site and to gather demographic information about our user base as a whole. ","First Party Collection/Use"
"10","To do this, we use 'cookies' or alphanumeric identifiers that we transfer to your computer's hard drive through your web browser to enable our systems to recognize your browser and to provide features such as storage of items in your Shopping Cart between visits. We use a third-party service provider to serve ads on our behalf across the Internet and sometimes on the Sites. This provider may collect anonymous information about your visits to the Sites and may also use information about your visits to this and other Web sites to refine our services. If you are concerned about cookies, the ""help"", ""options"" or ""preferences"" functions on most browsers will allow to limit or disable cookies altogether. However, cookies allow you to take full advantage of our interactive features, and we recommend that you leave them turned on. ","Third Party Sharing/Collection"
"10","To do this, we use 'cookies' or alphanumeric identifiers that we transfer to your computer's hard drive through your web browser to enable our systems to recognize your browser and to provide features such as storage of items in your Shopping Cart between visits. We use a third-party service provider to serve ads on our behalf across the Internet and sometimes on the Sites. This provider may collect anonymous information about your visits to the Sites and may also use information about your visits to this and other Web sites to refine our services. If you are concerned about cookies, the ""help"", ""options"" or ""preferences"" functions on most browsers will allow to limit or disable cookies altogether. However, cookies allow you to take full advantage of our interactive features, and we recommend that you leave them turned on. ","First Party Collection/Use"
"11","Currently, our Sites do not respond to ""Do Not Track"" signals from your browser. ","Do Not Track"
