"0","Privacy Policy ","Introductory/Generic"
"1"," Introduction The mission of FARE (Food Allergy Research & Education) is to raise public awareness, to provide advocacy and education, and to advance research on behalf of all those affected by food allergies and anaphylaxis. The Food Allergy Research & Education website provides information, resources, referrals, and data intended to assist the public in managing life-threatening food allergies. The website also provides information for healthcare professionals and offers opportunities for volunteering in Food Allergy Research & Education fundraising events. ","Introductory/Generic"
"2"," Contact Information, Accessing, and Correcting Your Personal Information If you have any questions about this Policy or you wish to review or correct your or your child's personal information, you may contact us by U.S. mail, e-mail, or telephone at the addresses and numbers listed below. Food Allergy Research & Education (FARE) 7925 Jones Branch Drive, Suite 1100 McLean, VA 22102 email: contactfare@foodallergy.org Telephone: (800) 929-4040 ","Privacy contact information"
"3"," Our Commitment to Privacy We at Food Allergy Research & Education recognize the importance of protecting your privacy. The purpose of this notice is to explain the practices and procedures we implement to protect your personal information, the way we use this information, and the choices you can make regarding our use of your personal information. This notice may be accessed by clicking on a ""Privacy Policy"" link that appears on each page of our website. Food Allergy Research & Education is committed to protecting your privacy and will honor this Policy. ","Introductory/Generic"
"4"," Changes to this Policy Food Allergy Research & Education reserves the right to change this Policy at any time. To better serve you and your concerns about your privacy, we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website (http://www.foodallergy.org) indicating that there has been a change or update to the Privacy Policy. We encourage you to read this Policy. ","Policy Change"
"5"," The Information We Collect and How We Use It You may browse Food Allergy Research & Education websites without submitting personal information. However, if you choose to sign up for one of our e-mail lists; become a member; purchase products; or participate in an event, contest, or program, you will be asked for applicable personal data such as your name, gender, postal address, e-mail address, phone number, fax number, payment information, relationship to food allergies, and date of birth. The purpose of collecting such data is to assist FARE in contacting individuals and to collect payments made online. Food Allergy Research & Education also uses this personal information to advise users of new online materials, activities, and events, and to provide users with the opportunity to contribute to local and national programs and research initiatives. ","First Party Collection/Use"
"6","Food Allergy Research & Education also collects personal information offline from volunteers, donors, and event participants. Such information may include name, address, telephone number, e-mail address, age, and information regarding the donation. The information is collected through offline registration forms, telemarketing appeals, and postal appeals. Food Allergy Research & Education uses this personal information to inform volunteers and donors of new materials, and activities and events that offer the opportunity to contribute to local and national programs and research initiatives. ","Practice not covered"
"7"," Personal Health-Related Information Personal information included in specific questions submitted to Food Allergy Research & Education is used solely as internal market research to help us better serve you. All other information entered on this site is used for aggregate demographic analysis only and no personally identifiable information is included in these analyses. Records are used to create aggregate reports for internal use only and are purged after one calendar year from the date of entry. ","First Party Collection/Use"
"7"," Personal Health-Related Information Personal information included in specific questions submitted to Food Allergy Research & Education is used solely as internal market research to help us better serve you. All other information entered on this site is used for aggregate demographic analysis only and no personally identifiable information is included in these analyses. Records are used to create aggregate reports for internal use only and are purged after one calendar year from the date of entry. ","Data Retention"
"8"," Payment Information Payment information, such as credit card number and expiration date, is entered upon completion of a sale or registration that requires a fee. Food Allergy Research & Education uses Global Payments and Verisign as third-party intermediaries to process your online donations and payments. Your credit card information is encrypted when submitted to the processor and transmitted over a secure connection between your computer and our server using Secure Socket Layers (SSL), the industry standard, to ensure protection of your private information. This sensitive personal information is not shared with third parties other than the processor and is stored by Food Allergy Research & Education for verification purposes or for recurring donations that you have authorized. ","Third Party Sharing/Collection"
"8"," Payment Information Payment information, such as credit card number and expiration date, is entered upon completion of a sale or registration that requires a fee. Food Allergy Research & Education uses Global Payments and Verisign as third-party intermediaries to process your online donations and payments. Your credit card information is encrypted when submitted to the processor and transmitted over a secure connection between your computer and our server using Secure Socket Layers (SSL), the industry standard, to ensure protection of your private information. This sensitive personal information is not shared with third parties other than the processor and is stored by Food Allergy Research & Education for verification purposes or for recurring donations that you have authorized. ","Data Retention"
"8"," Payment Information Payment information, such as credit card number and expiration date, is entered upon completion of a sale or registration that requires a fee. Food Allergy Research & Education uses Global Payments and Verisign as third-party intermediaries to process your online donations and payments. Your credit card information is encrypted when submitted to the processor and transmitted over a secure connection between your computer and our server using Secure Socket Layers (SSL), the industry standard, to ensure protection of your private information. This sensitive personal information is not shared with third parties other than the processor and is stored by Food Allergy Research & Education for verification purposes or for recurring donations that you have authorized. ","Data Security"
"9"," Cookies, Gifs, Logs Cookies are small text files that a website can place on a visitor's computer hard drive to recognize repeat visitors, to facilitate a visitor's use of the site and to track a visitor's access to and use of the site. ","Introductory/Generic"
"10","Food Allergy Research & Education uses cookies to collect demographic data that help us better advertise our mission, programs, and events to potential visitors and to improve the functionality of the website and the experience for those who use our site. We receive data that includes the IP addresses, browser types, date/time stamp, donations, and sign-up information of visitors to our site. ","First Party Collection/Use"
"11","In addition, Food Allergy Research & Education uses cookies to allow us to track which other websites have linked visitors to our site, what pages of our site are used by and are of interest to those visitors, and to link to information those visitors provide to Food Allergy Research & Education when they donate or sign up to take part in our programs and events. ","First Party Collection/Use"
"12","Cookies are used in the site in order to remember the user's name. Sites containing other programs run by Food Allergy Research & Education may contain information as to how cookies are used on those sites. ","First Party Collection/Use"
"13"," Sharing Your Information with Third Parties Food Allergy Research & Education never shares your e-mail addresses with third parties without your consent. Personal information collected from our donation pages is never shared with third parties. ","Third Party Sharing/Collection"
"14","If you are a California resident, please click here to view ""Your Privacy Rights"" under California law. ","International and Specific Audiences"
"15"," Public Forums Food Allergy Research & Education advises users that personal information posted on the website is accessible only to members. ","Other"
"16"," Children's Online Privacy Protection Act Compliance We are in compliance with the requirements of COPPA (Children's Online Privacy Protection Act); we do not collect any information from anyone under 13 years of age. Our website, products, and services are all directed to people who are at least 13 years old or older. ","International and Specific Audiences"
"17"," Opting-Out of Future Food Allergy Research & Education Communications You may opt out of Food Allergy Research & Education communications at any time by contacting contactfare@foodallergy.org. ","User Choice/Control"
