"0","TGI FRIDAYS PRIVACY POLICY We want to make your online and mobile experiences satisfying and safe. We want to provide you with the means to control your privacy and give you a way to voice questions or concerns you may have. ","Introductory/Generic"
"1","When you use our digital or mobile application, certain information about your activity is collected. We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying. From time to time, we may initiate a program, service or survey that requests your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays. We recognize that the loyalty of our customers depends upon our relationships with them and we strongly support the rights of customers to maintain privacy of personal data. Don't worry, at TGI Fridays, your personal information is safe. ","First Party Collection/Use"
"1","When you use our digital or mobile application, certain information about your activity is collected. We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying. From time to time, we may initiate a program, service or survey that requests your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays. We recognize that the loyalty of our customers depends upon our relationships with them and we strongly support the rights of customers to maintain privacy of personal data. Don't worry, at TGI Fridays, your personal information is safe. ","Data Security"
"2"," LOGGING IN TO MOBILE APPLICATION When you log in to our mobile application, you will be asked whether you want the mobile application to remember you. If you choose yes, the mobile application will remain logged in to your information. At any time you can choose to log out by choosing the logout button on the application. ","User Choice/Control"
"3"," OUR COMMITMENTS TO YOUR FAMILY Like you, we have children of our own and are concerned about their safety when they use the Internet. We want you and your family to be safe while visiting our website. That is why, consistent with the Federal Children's Online Privacy Protection Act of 1998 (COPPA), we do not offer program participation to minors and will never knowingly request information from children. For more information about protecting the privacy and safety of minors online, we recommend you visit http://www.ftc.gov/privacy/privacyinitiatives/childrens.html. ","International and Specific Audiences"
"3"," OUR COMMITMENTS TO YOUR FAMILY Like you, we have children of our own and are concerned about their safety when they use the Internet. We want you and your family to be safe while visiting our website. That is why, consistent with the Federal Children's Online Privacy Protection Act of 1998 (COPPA), we do not offer program participation to minors and will never knowingly request information from children. For more information about protecting the privacy and safety of minors online, we recommend you visit http://www.ftc.gov/privacy/privacyinitiatives/childrens.html. ","Privacy contact information"
"4"," WHAT INFORMATION DO WE COLLECT? We collect information in several different ways. We collect the domain name of visitors to our web pages, user-specific information on the pages visitors access, and information such as survey information or other information that you provide voluntarily. Like many other commercial websites, our website may employ a standard technology called a ""cookie"" to collect information about how our site is used. Our website provides a direct link (among others) to the TGI Fridays Give Me More Stripes Guest Recognition Program site ( www.givememorestripes.com) where, should you choose to enroll, you will be asked to submit personal information, which will be subject to the Give Me More Stripes terms and conditions, separate privacy policy and other policies. Our mobile application also allows enrollment in the Give Me More Stripes program by providing the same information. In addition, we may from time to time provide direct links to news or promotional sites featuring articles about TGI Fridays, which would be subject to those sites' policies. ","First Party Collection/Use"
"4"," WHAT INFORMATION DO WE COLLECT? We collect information in several different ways. We collect the domain name of visitors to our web pages, user-specific information on the pages visitors access, and information such as survey information or other information that you provide voluntarily. Like many other commercial websites, our website may employ a standard technology called a ""cookie"" to collect information about how our site is used. Our website provides a direct link (among others) to the TGI Fridays Give Me More Stripes Guest Recognition Program site ( www.givememorestripes.com) where, should you choose to enroll, you will be asked to submit personal information, which will be subject to the Give Me More Stripes terms and conditions, separate privacy policy and other policies. Our mobile application also allows enrollment in the Give Me More Stripes program by providing the same information. In addition, we may from time to time provide direct links to news or promotional sites featuring articles about TGI Fridays, which would be subject to those sites' policies. ","Introductory/Generic"
"5"," HOW THE INFORMATION IS USED We use the information that we collect to understand your preferences and history using our website, mobile application and related services. With this information we make it easier and more rewarding for you to use our website, mobile application, any related services, and enjoy your guest experience at our restaurants (in the case of voluntary surveys). ","First Party Collection/Use"
"6","Our ability to provide enhanced services may occasionally depend on our ability to develop summary reports for our advertising agents that contain raw numbers or statistics (but never tell them who it was that stated a preference or clicked an option). ","Other"
"6","Our ability to provide enhanced services may occasionally depend on our ability to develop summary reports for our advertising agents that contain raw numbers or statistics (but never tell them who it was that stated a preference or clicked an option). ","Third Party Sharing/Collection"
"7","It is our policy to never send messages to website users unless they request that we do so. ","User Choice/Control"
"8"," WHO HAS ACCESS TO YOUR PERSONAL INFORMATION The information that you provide is collected by TGI Fridays. In the case of links to our gift card and guest recognition sites, the information you voluntarily provide at those sites will only be shared with those service vendors who help TGI Fridays administer those websites or mobile application and the services they provide. In any case, TGI Fridays is the lawful ""owner"" of the information and each of these vendors may use the information only for the purpose of administering the digital or mobile application and its services for TGI Fridays, and will take all necessary precautions to protect the information. Ownership of any information you provide us will be held solely by TGI Fridays. We will not sell ownership of this data to any other company or organization. ","Third Party Sharing/Collection"
"9","We will not transfer information to competitors. Your information will always be used only to help us ensure that our website, mobile application and any related services meet your expectations. At TGI Fridays, your personal information is safe. We don't sell or lend your information to anyone, and only share information with the parties described above. ","Third Party Sharing/Collection"
