"0","Walmart Privacy Policy Last Updated: March 2015 ","Introductory/Generic"
"0","Walmart Privacy Policy Last Updated: March 2015 ","Practice not covered"
"0","Walmart Privacy Policy Last Updated: March 2015 ","Other"
"1","At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience. ","Introductory/Generic"
"1","At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience. ","First Party Collection/Use"
"2","Our founder Sam Walton reminded us that ""a promise we make is a promise we keep,"" and it's our promise to customers that we respect the trust you place in us and the privacy of the information you share. Part of providing superior customer service includes making sure that we're building a relationship of trust with customers. Our way of doing that is to let you know in a clear, prominent, and easily accessible way how we collect, use, share, and above all protect your personal information. ","Introductory/Generic"
"3","Our Policy outlines: How and why we collect your personal information; How your personal information is used and protected; When and with whom we share your personal information; and What choices you can make about how we collect, use, and share your personal information. ","Introductory/Generic"
"4"," What Does Our Privacy Policy Include? Our Policy covers how and why we collect, use, protect, and share your personal information: At Walmart and Amigo retail stores in the United States and Puerto Rico, and On our websites and mobile services where this Policy is posted. Our Policy focuses on personal information - - information that identifies you or reasonably can be linked to information that identifies you. ","Introductory/Generic"
"5","Our Policy covers how and why we collect, use, protect, and share your personal information. This Policy applies to personal information we collect at Walmart and Amigo retail stores in the United States and Puerto Rico and through our websites and mobile services where this Policy is posted. ","Introductory/Generic"
"6","Our Policy focuses on personal information - - information that identifies you or reasonably can be linked to information that identifies you. For example, when you place an item on layaway or place an order online, we collect personal information, such as name, address, phone number, and credit or debit card information. ","First Party Collection/Use"
"6","Our Policy focuses on personal information - - information that identifies you or reasonably can be linked to information that identifies you. For example, when you place an item on layaway or place an order online, we collect personal information, such as name, address, phone number, and credit or debit card information. ","Introductory/Generic"
"7","We have additional, specific privacy notices related to some of our specialized operations. For example, our Health Wellness operations (pharmacy and vision center) have a specific Notice of Privacy Practices for their personal information practices. Our specialized notices can be found here. ","Introductory/Generic"
"7","We have additional, specific privacy notices related to some of our specialized operations. For example, our Health Wellness operations (pharmacy and vision center) have a specific Notice of Privacy Practices for their personal information practices. Our specialized notices can be found here. ","Practice not covered"
"8"," What Is Our Pledge of Accountability? We require our associates, business partners, and service providers to manage your personal information properly. ","Introductory/Generic"
"8"," What Is Our Pledge of Accountability? We require our associates, business partners, and service providers to manage your personal information properly. ","Data Security"
"9","We have designated a team of trained associates who are responsible for helping to ensure compliance with this Policy. We require all those who manage customers' personal information to do so properly and in accordance with our policies. ","Introductory/Generic"
"9","We have designated a team of trained associates who are responsible for helping to ensure compliance with this Policy. We require all those who manage customers' personal information to do so properly and in accordance with our policies. ","Data Security"
"10"," What Type of Information Do We Collect? We collect two types of information: (1) information we receive from you and (2) information we receive from others. Information we receive from you includes information you share with us, such as when you create an account on one of our websites. This also includes information you provide us through technology, such as through a cookie placed on your computer when you visit our websites. We also receive information from other sources to help us supplement our records, improve the personalization of our service to you, and detect fraud. Our goal is to limit the information we collect to the information needed to support our business. ","First Party Collection/Use"
"11","We collect information to deliver the products and services you request and to help improve your shopping experience. Our goal is to limit the information we collect to the information needed to support our business. We collect information from you in a variety of ways when you interact with our stores, websites, and mobile services. We collect information in two ways: information we receive from you and information we receive from others. ","First Party Collection/Use"
"11","We collect information to deliver the products and services you request and to help improve your shopping experience. Our goal is to limit the information we collect to the information needed to support our business. We collect information from you in a variety of ways when you interact with our stores, websites, and mobile services. We collect information in two ways: information we receive from you and information we receive from others. ","Data Security"
"12"," Information We Receive From You You share information with us in various ways in our stores and online. For example, you share information when you: Make an in-store or online purchase, or other transaction, with us; Create an account on one of our websites or mobile services; Use a gift registry or create a mobile shopping list; Participate in our programs, such as Savings Catcher or eReceipts; Conduct a transaction or request a service where we collect information (including when required by law, such as hunting and fishing licenses); Request customer service or contact us; Post a review or comment on one of our social media pages, or post a rating, review or other user-generated content on one of our websites or mobile services; and Participate in a contest, sweepstake, promotion, or survey. ","First Party Collection/Use"
"13","When you engage in these activities, you may share different types of personal information with us, such as your name, email address, physical or postal address, phone number, date of birth, and payment information. ","First Party Collection/Use"
"14","You also provide us information in other ways through technology. Some of this information may be linked to you personally. This information helps our websites and mobile services work correctly and supports our customer marketing and analytics efforts - - our work to understand our customers' needs and provide information about our products and services. Here are some examples: ","First Party Collection/Use"
"15"," Device Information: We collect technical information when you visit our websites or use our mobile applications or services. This includes information such as Internet Protocol (IP) address, the type of mobile device you use, your device operating system and browser type, a unique device identifier, the address of a referring websites, the path you take through our websites, and other information about your session on our websites. ","First Party Collection/Use"
"16"," Browsing Information: We use technologies such as cookies, web beacons, and mobile device identifiers to collect information about the use of our websites and mobile services. Cookies allow us to provide you relevant information as you use or return to our sites. Web beacons allow us to know if a certain page was visited, an email was opened, or if ad banners on our websites and other sites were effective. We use these tools to provide a continuous and more personalized shopping experience for you. See ""What Are Your Choices?"" below for more information. ","First Party Collection/Use"
"17"," Location Information: We may collect information about your location when your device is set to provide location information. For example, your device's GPS signal allows us to show you the nearest Walmart stores. We may be able to recognize the location of a mobile device in stores where we provide customers free WiFi access. Through mobile services, Bluetooth technology in our stores allows us to show you nearby products that may interest you. See ""What Are Your Choices?"" below for more information. ","First Party Collection/Use"
"18"," Cameras: We operate cameras in store for security and operational purposes, for example, to help us improve the design of our stores to better serve our customers. ","Practice not covered"
"18"," Cameras: We operate cameras in store for security and operational purposes, for example, to help us improve the design of our stores to better serve our customers. ","Other"
"19"," Information We Receive From Other Sources We receive information about you from other sources to help us correct or supplement our records, improve the quality or personalization of our service to you, and prevent or detect fraud. We collect personal information from consumer reporting agencies in conjunction with products or services that involve financial risk to Walmart, such as transactions in which Walmart extends you financing. ","Third Party Sharing/Collection"
"19"," Information We Receive From Other Sources We receive information about you from other sources to help us correct or supplement our records, improve the quality or personalization of our service to you, and prevent or detect fraud. We collect personal information from consumer reporting agencies in conjunction with products or services that involve financial risk to Walmart, such as transactions in which Walmart extends you financing. ","First Party Collection/Use"
"20"," How Do We Use Your Personal Information? We use your personal information to provide you products and services, such as to fulfill your requests for products or to help us personalize our offerings to you. We also use your personal information to support our business functions, such as fraud prevention, marketing, and legal functions. ","First Party Collection/Use"
"21","We use your personal information to offer and provide you products and services and to support our business functions. These business functions include order and service fulfillment, internal business processes, marketing, authentication, loss and fraud prevention, public safety and legal functions. Some examples include: To fulfill your requests for products and services and communicate with you about those requests; To register and service your account; To administer contests, sweepstakes, promotions, and surveys; To provide customer service and alert you to product information, including recalls; To help us personalize our service offerings, websites, mobile services, and advertising; To help us improve your experience in our stores and through our websites and mobile services; To send you information about our products, services, and promotions; To respond to reviews, comments, or other feedback you provide us; and To protect the security and integrity of our websites, mobile services, and our business. To do this, we combine personal and non-personal information, collected online and offline, including information from third party sources. We also transfer or share your personal information within our corporate family of companies, such as with Sam's Club, for these purposes, as permitted by law. ","First Party Collection/Use"
"21","We use your personal information to offer and provide you products and services and to support our business functions. These business functions include order and service fulfillment, internal business processes, marketing, authentication, loss and fraud prevention, public safety and legal functions. Some examples include: To fulfill your requests for products and services and communicate with you about those requests; To register and service your account; To administer contests, sweepstakes, promotions, and surveys; To provide customer service and alert you to product information, including recalls; To help us personalize our service offerings, websites, mobile services, and advertising; To help us improve your experience in our stores and through our websites and mobile services; To send you information about our products, services, and promotions; To respond to reviews, comments, or other feedback you provide us; and To protect the security and integrity of our websites, mobile services, and our business. To do this, we combine personal and non-personal information, collected online and offline, including information from third party sources. We also transfer or share your personal information within our corporate family of companies, such as with Sam's Club, for these purposes, as permitted by law. ","Third Party Sharing/Collection"
"22"," How Do We Share Your Personal Information Outside of Walmart? We will not sell or rent your personal information. We may share your personal information in limited circumstances, such as to conduct our business, when legally required, or with your consent. ","Third Party Sharing/Collection"
"22"," How Do We Share Your Personal Information Outside of Walmart? We will not sell or rent your personal information. We may share your personal information in limited circumstances, such as to conduct our business, when legally required, or with your consent. ","First Party Collection/Use"
"22"," How Do We Share Your Personal Information Outside of Walmart? We will not sell or rent your personal information. We may share your personal information in limited circumstances, such as to conduct our business, when legally required, or with your consent. ","Data Security"
"23","We will not share your personal information outside of our corporate family of companies, except in the following circumstances: ","Third Party Sharing/Collection"
