"0","Privacy Policy IFSA-Butler is committed to respecting your privacy and protecting the information we receive from you. This policy is intended to outline the information we collect from users who visit and submit applications to our website and how we use and disclose that information. ","Introductory/Generic"
"0","Privacy Policy IFSA-Butler is committed to respecting your privacy and protecting the information we receive from you. This policy is intended to outline the information we collect from users who visit and submit applications to our website and how we use and disclose that information. ","First Party Collection/Use"
"1"," Information We Collect IFSA-Butler collects two types of information from visitors to this website: non-personally identifiable information that is automatically collected anytime you visit an IFSA-Butler webpage, such as IP address, browser type, and referring websites and information that is voluntarily supplied by visitors through the submission of inquiry forms or applications for programs offered through IFSA-Butler. ","First Party Collection/Use"
"2"," How We Use Visitor Information IFSA-Butler collects non-personally identifiable information with the purpose of optimizing the performance of our website. ","First Party Collection/Use"
"3","We do not rent or sell personally identifiable information to third-parties for their marketing purposes. We may share your information with select third parties in the following circumstances: We share certain information with overseas institutions and service providers, including universities and host families, so that they may provide our students with the services we request of them. We may share certain information about you, including but not limited to your name and home institution, for the purposes of promoting IFSA-Butler programs. We reserve the right to disclose your information to law enforcement and government officials in accordance with applicable laws, court orders and government regulations. ","Third Party Sharing/Collection"
"3","We do not rent or sell personally identifiable information to third-parties for their marketing purposes. We may share your information with select third parties in the following circumstances: We share certain information with overseas institutions and service providers, including universities and host families, so that they may provide our students with the services we request of them. We may share certain information about you, including but not limited to your name and home institution, for the purposes of promoting IFSA-Butler programs. We reserve the right to disclose your information to law enforcement and government officials in accordance with applicable laws, court orders and government regulations. ","First Party Collection/Use"
"4","We use reasonable precautions to protect your information and voluntarily abide by the guidelines outlined in the Family Educational Rights and Privacy Act to maintain your privacy. By using our website, you agree to the transfer of information to countries outside the United States that have institution and service providers associated with our overseas programs. ","Data Security"
"4","We use reasonable precautions to protect your information and voluntarily abide by the guidelines outlined in the Family Educational Rights and Privacy Act to maintain your privacy. By using our website, you agree to the transfer of information to countries outside the United States that have institution and service providers associated with our overseas programs. ","Practice not covered"
"4","We use reasonable precautions to protect your information and voluntarily abide by the guidelines outlined in the Family Educational Rights and Privacy Act to maintain your privacy. By using our website, you agree to the transfer of information to countries outside the United States that have institution and service providers associated with our overseas programs. ","User Choice/Control"
"5"," Use of Cookies IFSA-Butler uses Cookies for the purpose of maintaining your session when you provide information to IFSA-Butler through web forms and our application system. Cookies are small pieces of information transferred from our website to your web browser to streamline your experience on our website and allow web servers to recognize the computer used to access the website. Our website does not use cookies to collect personally identifiable information. You can modify your browser settings to decline cookies if you wish to opt out of this service. ","Introductory/Generic"
