"0","Privacy Policy Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways: We will only collect personal information that you voluntarily provide. We will only use the personal information you provide for its intended purpose. We will only disclose personal information to a government agency if required by law. We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own. We will not disclose your personal information to other outside parties without first obtaining your permission. We provide a safe online environment for children and follow COPPA principles. We have implemented safeguards to protect any information collected. ","First Party Collection/Use"
"0","Privacy Policy Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways: We will only collect personal information that you voluntarily provide. We will only use the personal information you provide for its intended purpose. We will only disclose personal information to a government agency if required by law. We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own. We will not disclose your personal information to other outside parties without first obtaining your permission. We provide a safe online environment for children and follow COPPA principles. We have implemented safeguards to protect any information collected. ","Third Party Sharing/Collection"
"0","Privacy Policy Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways: We will only collect personal information that you voluntarily provide. We will only use the personal information you provide for its intended purpose. We will only disclose personal information to a government agency if required by law. We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own. We will not disclose your personal information to other outside parties without first obtaining your permission. We provide a safe online environment for children and follow COPPA principles. We have implemented safeguards to protect any information collected. ","International and Specific Audiences"
"0","Privacy Policy Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways: We will only collect personal information that you voluntarily provide. We will only use the personal information you provide for its intended purpose. We will only disclose personal information to a government agency if required by law. We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own. We will not disclose your personal information to other outside parties without first obtaining your permission. We provide a safe online environment for children and follow COPPA principles. We have implemented safeguards to protect any information collected. ","Data Security"
"0","Privacy Policy Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways: We will only collect personal information that you voluntarily provide. We will only use the personal information you provide for its intended purpose. We will only disclose personal information to a government agency if required by law. We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own. We will not disclose your personal information to other outside parties without first obtaining your permission. We provide a safe online environment for children and follow COPPA principles. We have implemented safeguards to protect any information collected. ","Introductory/Generic"
"1","For more information follow these links: Types of Information Collected Automatically Collected Information Information Collected for Measurement and Customization (Cookies) Personal Information Children's Privacy Policy ","Introductory/Generic"
"2"," Types of Information Collected The Library collects several types of information, although never for commercial marketing use: Automatically Collected Information Information Collected for Measurement and Customization (Cookies) Personal Information ","First Party Collection/Use"
"2"," Types of Information Collected The Library collects several types of information, although never for commercial marketing use: Automatically Collected Information Information Collected for Measurement and Customization (Cookies) Personal Information ","Introductory/Generic"
"3","The Library has implemented safeguards to protect this information, including only providing access to designated Library staff members that require this access to perform their duties. ","Data Security"
"4"," Automatically Collected Information The Library of Congress strives to provide the best experience for our Web and SMS users. To that end, the Library automatically collects and stores the following non-personally identifiable information: The name of the domain from which you access the Internet, The Internet Protocol address of your Internet provider's gateway, or in some cases, the computer you are using, The date and time you access the Library's site, The URL of the pages you visit and files you download, The Internet address of the website from which you linked directly to our site, Characteristics of your system, and Search terms used to come to the site and while on the site (in aggregate only). ","First Party Collection/Use"
