"0","Your Privacy ","Introductory/Generic"
"1","Caribou Coffee Privacy Statement June 3, 2003 ","Introductory/Generic"
"1","Caribou Coffee Privacy Statement June 3, 2003 ","Other"
"2","Caribou Coffee Company, Inc. (""Caribou Coffee"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully. Therefore, this online Privacy Statement tells you about the information Caribou Coffee collects through the services available on www.cariboucoffee.com (the ""Site""), and how we use that information. ","Introductory/Generic"
"2","Caribou Coffee Company, Inc. (""Caribou Coffee"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully. Therefore, this online Privacy Statement tells you about the information Caribou Coffee collects through the services available on www.cariboucoffee.com (the ""Site""), and how we use that information. ","Data Security"
"2","Caribou Coffee Company, Inc. (""Caribou Coffee"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully. Therefore, this online Privacy Statement tells you about the information Caribou Coffee collects through the services available on www.cariboucoffee.com (the ""Site""), and how we use that information. ","First Party Collection/Use"
"3","By using the Site, you are accepting the practices described in this Privacy Statement, as modified by us from time to time. If we change this Privacy Statement, we will post a notice on the home page of www.cariboucoffee.com and change the date at the top of this Privacy Statement, so that you are always aware of the information that we collect and how we use it. Therefore, we encourage you to check this page periodically for updates or changes whenever you visit the Site. ","Policy Change"
"3","By using the Site, you are accepting the practices described in this Privacy Statement, as modified by us from time to time. If we change this Privacy Statement, we will post a notice on the home page of www.cariboucoffee.com and change the date at the top of this Privacy Statement, so that you are always aware of the information that we collect and how we use it. Therefore, we encourage you to check this page periodically for updates or changes whenever you visit the Site. ","User Choice/Control"
"4","All changes will become effective when posted, and by continuing to use the Site following the posting of any changes, you agree to be bound by such modified Privacy Statement. ","Introductory/Generic"
"4","All changes will become effective when posted, and by continuing to use the Site following the posting of any changes, you agree to be bound by such modified Privacy Statement. ","Policy Change"
"4","All changes will become effective when posted, and by continuing to use the Site following the posting of any changes, you agree to be bound by such modified Privacy Statement. ","User Choice/Control"
"5"," The Information We Collect and How We Use It When you visit and use the Site, we gather certain information to help us better serve you. The information that we receive and collect depends on what you do when you visit the Site. ","Introductory/Generic"
"5"," The Information We Collect and How We Use It When you visit and use the Site, we gather certain information to help us better serve you. The information that we receive and collect depends on what you do when you visit the Site. ","First Party Collection/Use"
"6","Except as described in this Privacy Statement, we do not sell, rent, share or disclose the personally identifiable information that you provide to us (which is information that can be used to identify you individually) with any other organization. Information about our customers is an important part of our business, and we are not in the business of selling it to others. ","Third Party Sharing/Collection"
"6","Except as described in this Privacy Statement, we do not sell, rent, share or disclose the personally identifiable information that you provide to us (which is information that can be used to identify you individually) with any other organization. Information about our customers is an important part of our business, and we are not in the business of selling it to others. ","First Party Collection/Use"
"6","Except as described in this Privacy Statement, we do not sell, rent, share or disclose the personally identifiable information that you provide to us (which is information that can be used to identify you individually) with any other organization. Information about our customers is an important part of our business, and we are not in the business of selling it to others. ","Introductory/Generic"
"7","Currently, Caribou Coffee sends personally identifiable information to third-party service providers that work on our behalf to provide services relating to the ongoing maintenance and operation of the Site. ","Third Party Sharing/Collection"
"8","These third parties do not have the right to use the personally identifiable information beyond what is necessary to assist us. They are contractually obligated to maintain the confidentiality and security of such information, and are prohibited from using such information in any way not expressly authorized by Caribou Coffee. ","Practice not covered"
"8","These third parties do not have the right to use the personally identifiable information beyond what is necessary to assist us. They are contractually obligated to maintain the confidentiality and security of such information, and are prohibited from using such information in any way not expressly authorized by Caribou Coffee. ","Data Security"
"9","Some of our employees have access to customer information only in order to serve customers or maintain our information systems. These employees are subject to our corporate privacy policy. ","Data Security"
"10"," Submitting an Order When you submit an order we ask for your name, email address, billing address, shipping address, telephone number, fax number and credit card information. Your credit card information is sent to, and processed by third party financial institutions and their vendors. These service providers receive this information only for the purpose of verifying your credit card information, and for processing payment for your order, and they are obligated to keep this information confidential. ","First Party Collection/Use"
"10"," Submitting an Order When you submit an order we ask for your name, email address, billing address, shipping address, telephone number, fax number and credit card information. Your credit card information is sent to, and processed by third party financial institutions and their vendors. These service providers receive this information only for the purpose of verifying your credit card information, and for processing payment for your order, and they are obligated to keep this information confidential. ","Third Party Sharing/Collection"
"11"," Registering your Caribou Gift Card When you register your Caribou Gift Card on the Site, we ask for your name, email address, phone number and mailing address. This information is collected solely for the administration of our Caribou Gift Card program, and for replacing your Caribou Gift Card in the event it is lost or stolen. ","First Party Collection/Use"
"12"," Submitting a Resume If you are interested in applying for a job with Caribou Coffee, we collect the information asked for in the online application, and we use that information solely for the purpose of matching your experience and preferences with the job openings we have, and someone from Caribou Coffee may contact you to ask for your resume and to discuss potential employment opportunities. The information you submit is used solely for the purposes of recruiting and is not shared with any third party. ","First Party Collection/Use"
"12"," Submitting a Resume If you are interested in applying for a job with Caribou Coffee, we collect the information asked for in the online application, and we use that information solely for the purpose of matching your experience and preferences with the job openings we have, and someone from Caribou Coffee may contact you to ask for your resume and to discuss potential employment opportunities. The information you submit is used solely for the purposes of recruiting and is not shared with any third party. ","Third Party Sharing/Collection"
"13","Please note that by submitting your information regarding employment opportunities with Caribou Coffee, you authorize us to transmit and store your information in our recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for job vacancies at Caribou Coffee. ","User Choice/Control"
"13","Please note that by submitting your information regarding employment opportunities with Caribou Coffee, you authorize us to transmit and store your information in our recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for job vacancies at Caribou Coffee. ","Data Retention"
"13","Please note that by submitting your information regarding employment opportunities with Caribou Coffee, you authorize us to transmit and store your information in our recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for job vacancies at Caribou Coffee. ","Third Party Sharing/Collection"
"14","Please be aware that we may disclose any information you provide to us (including personally identifiable information) in the good faith belief that we are required to do so by law, or that doing so is reasonably necessary to comply with legal process, to respond to any claims or to protect our rights, property or personal safety, or that of our customers or the public. ","Third Party Sharing/Collection"
"15"," Information We Automatically Collect Some information is automatically collected when you visit the Site. We collect the name of the domain and host from which you access the internet, the internet protocol (IP) address of the computer you are using, the browser software you use and your operating system, the date and time you access the Site, and the internet address of the web site from which you linked directly to the Site. ","First Party Collection/Use"
"16","We use this information to monitor the Site and provide us with the ability to enhance our customers' shopping experience by serving up relevant content and to determine aggregate information about usage patterns. ","First Party Collection/Use"
"17","We use cookies to enhance the browsing and shopping experience on the Site. ""Cookies"" are small files or records that we place on your computer's hard drive to collect information about your activities on the Site. The information captured makes it possible for us to speed navigation, keep track of items in your shopping cart and provide you with custom tailored content. ","Introductory/Generic"
"17","We use cookies to enhance the browsing and shopping experience on the Site. ""Cookies"" are small files or records that we place on your computer's hard drive to collect information about your activities on the Site. The information captured makes it possible for us to speed navigation, keep track of items in your shopping cart and provide you with custom tailored content. ","First Party Collection/Use"
"18","You can choose to have your browser warn you every time a cookie is being sent to you or you can turn off your computer's ability to receive cookies. If you refuse cookies, you will not be able to open a shopping cart on the Site, and therefore will not be able to complete an order with us online. ","User Choice/Control"
"19","Caribou Coffee uses pixels, or transparent GIF files, to help manage online advertising. These GIF files are provided by our ad management partner, DoubleClick. These files enable DoubleClick to recognize a unique cookie on your Web browser, which in turn enables us to learn which advertisements bring users to our website. The cookie was placed by us, or by another advertiser who works with DoubleClick. ","Third Party Sharing/Collection"
"19","Caribou Coffee uses pixels, or transparent GIF files, to help manage online advertising. These GIF files are provided by our ad management partner, DoubleClick. These files enable DoubleClick to recognize a unique cookie on your Web browser, which in turn enables us to learn which advertisements bring users to our website. The cookie was placed by us, or by another advertiser who works with DoubleClick. ","First Party Collection/Use"
