"0","Privacy Statement ","Introductory/Generic"
"1","Last Updated on May 22, 2015 ","Introductory/Generic"
"1","Last Updated on May 22, 2015 ","Other"
"1","Last Updated on May 22, 2015 ","Policy Change"
"2","New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services. ","User Choice/Control"
"2","New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services. ","Introductory/Generic"
"2","New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services. ","First Party Collection/Use"
"3","NOTMC controls and operates its business and Online Services from within the United States of America. Our online privacy practices are governed by the laws of the United States and the State of Louisiana, which may differ from privacy laws in your state or home country. By submitting your personal information to us through the use of our Online Services, you consent to the transfer of your personal information to any country and its use and disclosure in accordance with this Privacy Policy and applicable U.S. federal and state laws. ","International and Specific Audiences"
"3","NOTMC controls and operates its business and Online Services from within the United States of America. Our online privacy practices are governed by the laws of the United States and the State of Louisiana, which may differ from privacy laws in your state or home country. By submitting your personal information to us through the use of our Online Services, you consent to the transfer of your personal information to any country and its use and disclosure in accordance with this Privacy Policy and applicable U.S. federal and state laws. ","Introductory/Generic"
"4","We may change our Privacy Policy, so please check this page from time to time, as your continued use of the Online Services after we publish our changes, indicates your acceptance of any changed terms. You can tell when the Privacy Policy was last updated by reviewing the ""Last Updated"" date at the top of the page. ","Policy Change"
