"0","PRIVACY POLICY This Privacy Policy explains what information is collected via the Mohegan Sun website located at mohegansun.com, why the information is collected and how it is used. Mohegan Sun does not share or sell your personal information to anyone. Mohegan Sun does not participate in any format of SPAM and will not send any unsolicited emails. ","Introductory/Generic"
"0","PRIVACY POLICY This Privacy Policy explains what information is collected via the Mohegan Sun website located at mohegansun.com, why the information is collected and how it is used. Mohegan Sun does not share or sell your personal information to anyone. Mohegan Sun does not participate in any format of SPAM and will not send any unsolicited emails. ","Third Party Sharing/Collection"
"0","PRIVACY POLICY This Privacy Policy explains what information is collected via the Mohegan Sun website located at mohegansun.com, why the information is collected and how it is used. Mohegan Sun does not share or sell your personal information to anyone. Mohegan Sun does not participate in any format of SPAM and will not send any unsolicited emails. ","First Party Collection/Use"
"1","Information Collected Online The information collected online is used for email broadcasts utilizing tailored information upon the request of a visitor. Information received such as name, email address, home address and data collected regarding areas of interest is stored in a database. The database is available for Mohegan Sun's usage only and is not shared with anyone. None of the information collected is sold or shared with any third party and is available only to specific Marketing Managers at Mohegan Sun. Anyone receiving email updates from Mohegan Sun that wish to be removed should immediately click on the ""unsubscribe"" link which is included in every email correspondence that is transmitted from Mohegan Sun. ","First Party Collection/Use"
"1","Information Collected Online The information collected online is used for email broadcasts utilizing tailored information upon the request of a visitor. Information received such as name, email address, home address and data collected regarding areas of interest is stored in a database. The database is available for Mohegan Sun's usage only and is not shared with anyone. None of the information collected is sold or shared with any third party and is available only to specific Marketing Managers at Mohegan Sun. Anyone receiving email updates from Mohegan Sun that wish to be removed should immediately click on the ""unsubscribe"" link which is included in every email correspondence that is transmitted from Mohegan Sun. ","Third Party Sharing/Collection"
"2","Information Collected at Mohegan Sun In addition to the information collected online, patrons may sign up to become a Momentum member upon visiting Mohegan Sun. All personal information collected at any Player's Club booth including name, address, phone number and email address is placed in a database that is not shared or sold with any third party. ","First Party Collection/Use"
"2","Information Collected at Mohegan Sun In addition to the information collected online, patrons may sign up to become a Momentum member upon visiting Mohegan Sun. All personal information collected at any Player's Club booth including name, address, phone number and email address is placed in a database that is not shared or sold with any third party. ","Third Party Sharing/Collection"
"3","Management of User Information Certain information, such as address or email address, can be updated or corrected simply by calling Customer Service at 1.888.777.7920. ","User Access, Edit and Deletion"
"3","Management of User Information Certain information, such as address or email address, can be updated or corrected simply by calling Customer Service at 1.888.777.7920. ","Privacy contact information"
"4","Special Note About Children This site is not intended for children. Children may use this site only with the direct supervision of their parent or legal guardian. We do not attempt to collect any data or personal information from children. Any parents or guardians who are aware of children submitting information should notify us at once of the specific information so that we may remove them from any mailing lists. All recipients of any online promotions must be 21 years of age or older. Age is verified upon contact of the specified winner. ","International and Specific Audiences"
"4","Special Note About Children This site is not intended for children. Children may use this site only with the direct supervision of their parent or legal guardian. We do not attempt to collect any data or personal information from children. Any parents or guardians who are aware of children submitting information should notify us at once of the specific information so that we may remove them from any mailing lists. All recipients of any online promotions must be 21 years of age or older. Age is verified upon contact of the specified winner. ","First Party Collection/Use"
"5","If You Have a Question If you have a question regarding any of the above information, please contact us at the following email address and we will be happy to get back to you. Contact information@mohegansun.com ","Privacy contact information"
"6","You may also contact us by mail using the address below. 1 Mohegan Sun Boulevard Uncasville, CT 06382 For General Information: 1.888.226.7711 For Hotel Reservations: 1.888.777.7922","Privacy contact information"
